o0900000	A	EASL0001	I	A	archsigns/A.jpg
o0900008	A@g	EASL0002	I	A@g	archsigns/A@g.jpg
o0900009	A@t	EASL0003	I	A@t	archsigns/A@t.jpg
o0900010	A₂	EASL0004	I	A2	archsigns/A2.jpg
o0900013	AB~a~v1	EASL0005	I	AB~a	archsigns/AB~a.jpg
o0900040	AB~a@g	EASL0006	I	AB~a@g	archsigns/AB~a@g.jpg
o0900025	|AB~a×1(N01)|	EASL0007	I	|AB~ax1(N01)|	archsigns/|AB~ax1(N01)|.jpg
o0900018	|AB~a×A@t|	EASL0008	I	|AB~axA@t|	archsigns/|AB~axA@t|.jpg
o0900020	|AB~a×AŠ₂|	EASL0009	I	|AB~axASZ2|	archsigns/|AB~axASZ2|.jpg
o0900022	|AB~a×KU₆~a|	EASL0010	I	|AB~axKU6~a|	archsigns/|AB~axKU6~a|.jpg
o0900029	|AB~a×SUKKAL|	EASL0011	I	|AB~axSUKKAL|	archsigns/|AB~axSUKKAL|.jpg
o0900033	|AB~a×(ŠE~a&ŠE~a)|	EASL0012	I	|AB~ax(SZE~a&SZE~a)|	archsigns/|AB~ax(SZE~a&SZE~a)|.jpg
o0900035	|AB~a×X|	EASL0013	I	|AB~axX|	archsigns/|AB~axX|.jpg
o0900038	|AB~a×ZATU659|	EASL0014	I	|AB~axZATU659|	archsigns/|AB~axZATU659|.jpg
o0900014	AB~b	EASL0015	I	AB~b	archsigns/AB~b.jpg
o0900016	|AB~b×A|	EASL0016	I	|AB~bxA|	archsigns/|AB~bxA|.jpg
o0900023	|AB~b×KU₆~a|	EASL0017	I	|AB~bxKU6~a|	archsigns/|AB~bxKU6~a|.jpg
o0900031	|AB~b×ŠA₃~a1|	EASL0018	I	|AB~bxSZA3~a1|	archsigns/|AB~bxSZA3~a1|.jpg
o0900042	AB₂~v1	EASL0019	I	AB2	archsigns/AB2.jpg
o0900044	|AB₂~v2×2(N14)|	EASL0020	I	|AB2x2(N14)|	archsigns/|AB2x2(N14)|.jpg
o0900048	ABGAL~v1	EASL0021	I	ABGAL	archsigns/ABGAL.jpg
o0900049	ABRIG	EASL0022	I	ABRIG	archsigns/ABRIG.jpg
o0900050	ABZU	EASL0023	I	ABZU	archsigns/ABZU.jpg
o0900053	AD~a	EASL0024	I	AD~a	archsigns/AD~a.jpg
o0900054	AD~b	EASL0025	I	AD~b	archsigns/AD~b.jpg
o0900055	AD~c	EASL0026	I	AD~c	archsigns/AD~c.jpg
o0900056	ADAB	EASL0027	I	ADAB	archsigns/ADAB.jpg
o0900058	ADDA	EASL0028	I	ADDA	archsigns/ADDA.jpg
o0900059	ADDA@t	EASL0029	I	ADDA@t	archsigns/ADDA@t.jpg
o0900060	AGAR₂	EASL0030	I	AGAR2	archsigns/AGAR2.jpg
o0900062	AK~a	EASL0031	I	AK~a	archsigns/AK~a.jpg
o0900063	AK~b	EASL0032	I	AK~b	archsigns/AK~b.jpg
o0900064	AL	EASL0033	I	AL	archsigns/AL.jpg
o0900066	ALAN~a	EASL0034	I	ALAN~a	archsigns/ALAN~a.jpg
o0900067	ALAN~b	EASL0035	I	ALAN~b	archsigns/ALAN~b.jpg
o0900068	ALAN~c	EASL0036	I	ALAN~c	archsigns/ALAN~c.jpg
o0900069	ALAN~d	EASL0037	I	ALAN~d	archsigns/ALAN~d.jpg
o0900070	ALAN~e	EASL0038	I	ALAN~e	archsigns/ALAN~e.jpg
o0900071	ALAN~f	EASL0039	I	ALAN~f	archsigns/ALAN~f.jpg
o0900072	ALIM	EASL0040	I	ALIM	archsigns/ALIM.jpg
o0900074	AM~a	EASL0041	I	AM~a	archsigns/AM~a.jpg
o0900075	AM~b	EASL0042	I	AM~b	archsigns/AM~b.jpg
o0900078	AMA~a~v1	EASL0043	I	AMA~a	archsigns/AMA~a.jpg
o0900081	|AMA~a×E₂~a|	EASL0044	I	|AMA~axE2~a|	archsigns/|AMA~axE2~a|.jpg
o0900079	AMA~b	EASL0045	I	AMA~b	archsigns/AMA~b.jpg
o0900085	|AMAR.1(N02)|	EASL0046	I	|AMAR.1(N02)|	archsigns/|AMAR.1(N02)|.jpg
o0900084	AMAR~v2	EASL0047	I	AMAR	archsigns/AMAR.jpg
o0900088	AMAR@g	EASL0048	I	|AMAR@g|	archsigns/|AMAR@g|.jpg
o0900087	|AMAR&AMAR|	EASL0049	I	|AMAR&AMAR|	archsigns/|AMAR&AMAR|.jpg
o0900086	|AMAR~v2×TAR~c|	EASL0050	I	|AMARxTAR|	archsigns/|AMARxTAR|.jpg
o0900091	AN~v2	EASL0051	I	AN	archsigns/AN.jpg
o0900093	ANŠE~a	EASL0052	I	ANSZE~a	archsigns/ANSZE~a.jpg
o0900094	ANŠE~b	EASL0053	I	ANSZE~b	archsigns/ANSZE~b.jpg
o0900095	ANŠE~c	EASL0054	I	ANSZE~c	archsigns/ANSZE~c.jpg
o0900096	ANŠE~e	EASL0055	I	ANSZE~e	archsigns/ANSZE~e.jpg
o0900098	ANZU₂	EASL0056	I	ANZU2	archsigns/ANZU2.jpg
o0900104	|APIN~a.APIN~a|	EASL0057	I	|APIN~a.APIN~a|	archsigns/|APIN~a.APIN~a|.jpg
o0900100	APIN~a	EASL0058	I	APIN~a	archsigns/APIN~a.jpg
o0900101	APIN~b	EASL0059	I	APIN~b	archsigns/APIN~b.jpg
o0900102	APIN~c	EASL0060	I	APIN~c	archsigns/APIN~c.jpg
o0900107	ARARMA₂~a~v1	EASL0061	I	ARARMA2~a	archsigns/ARARMA2~a.jpg
o0900108	ARARMA₂~b	EASL0062	I	ARARMA2~b	archsigns/ARARMA2~b.jpg
o0900109	ARATTA	EASL0063	I	ARATTA	archsigns/ARATTA.jpg
o0900110	ASAL₂	EASL0064	I	ASAL2	archsigns/ASAL2.jpg
o0900111	ASAR	EASL0065	I	ASAR	archsigns/ASAR.jpg
o0900112	AŠ₂	EASL0066	I	ASZ2	archsigns/ASZ2.jpg
o0900005	|A×1(N14)|	EASL0067	I	|Ax1(N14)|	archsigns/|Ax1(N14)|.jpg
o0900001	|A×AB₂|	EASL0068	I	|AxAB2|	archsigns/|AxAB2|.jpg
o0900002	|A×AN|	EASL0069	I	|AxAN|	archsigns/|AxAN|.jpg
o0900004	|A×EN~a~v2|	EASL0070	I	|AxEN~a|	archsigns/|AxEN~a|.jpg
o0900006	|A×ŠUBUR|	EASL0071	I	|AxSZUBUR|	archsigns/|AxSZUBUR|.jpg
o0900007	|A×ZATU672|	EASL0072	I	|AxZATU672|	archsigns/|AxZATU672|.jpg
o0900113	AZ	EASL0073	I	AZ	archsigns/AZ.jpg
o0900114	AZU	EASL0074	I	AZU	archsigns/AZU.jpg
o0900115	BA	EASL0075	I	BA	archsigns/BA.jpg
o0900116	BAD	EASL0076	I	BAD	archsigns/BAD.jpg
o0900117	|BAD&BAD|	EASL0077	I	|BAD&BAD|	archsigns/|BAD&BAD|.jpg
o0900119	BAD₃~a	EASL0078	I	BAD3~a	archsigns/BAD3~a.jpg
o0900121	BAD₃~b1	EASL0079	I	BAD3~b1	archsigns/BAD3~b1.jpg
o0900122	BAD₃~b2	EASL0080	I	BAD3~b2	archsigns/BAD3~b2.jpg
o0900125	BAHAR₂~a~v1	EASL0081	I	BAHAR2~a	archsigns/BAHAR2~a.jpg
o0900127	BAHAR₂~b~v1	EASL0082	I	BAHAR2~b	archsigns/BAHAR2~b.jpg
o0900128	BAHAR₂~c	EASL0083	I	BAHAR2~c	archsigns/BAHAR2~c.jpg
o0900130	BALA~a	EASL0084	I	BALA~a	archsigns/BALA~a.jpg
o0900132	BALA~b~v1	EASL0085	I	BALA~b	archsigns/BALA~b.jpg
o0900134	BALAG~v1	EASL0086	I	BALAG	archsigns/BALAG.jpg
o0900138	BAN~a~v2	EASL0087	I	BAN~a	archsigns/BAN~a.jpg
o0900139	BAN~b	EASL0088	I	BAN~b	archsigns/BAN~b.jpg
o0900141	BANŠUR~a	EASL0089	I	BANSZUR~a	archsigns/BANSZUR~a.jpg
o0900146	BANŠUR~a@t	EASL0090	I	BANSZUR~a@t	archsigns/BANSZUR~a@t.jpg
o0900142	BANŠUR~b1	EASL0091	I	BANSZUR~b1	archsigns/BANSZUR~b1.jpg
o0900143	BANŠUR~b2	EASL0092	I	BANSZUR~b2	archsigns/BANSZUR~b2.jpg
o0900144	BANŠUR~c	EASL0093	I	BANSZUR~c	archsigns/BANSZUR~c.jpg
o0900148	BAPPIR~a	EASL0094	I	BAPPIR~a	archsigns/BAPPIR~a.jpg
o0900149	BAPPIR~b	EASL0095	I	BAPPIR~b	archsigns/BAPPIR~b.jpg
o0900150	BAPPIR~c	EASL0096	I	BAPPIR~c	archsigns/BAPPIR~c.jpg
o0900151	BAPPIR~d	EASL0097	I	BAPPIR~d	archsigns/BAPPIR~d.jpg
o0900152	BAPPIR~e	EASL0098	I	BAPPIR~e	archsigns/BAPPIR~e.jpg
