oX	pcsl	cdli
o0900211	BUR~a	BUR~a
o0900212	BUR~b	BUR~b
o0900213	BUR~c	BUR~c
o0900214	BUR~d	BUR~d
o0900215	BUR₂	BUR2
o0900217	DA~a	DA~a
o0900222	|DA~a.LIŠ|	|DA~a.LISZ|
o0900218	DA~b	DA~b
o0900219	DA~c	DA~c
o0900220	DA~d	DA~d
o0900223	DAG	DAG
o0900224	DAH	DAH
o0900225	DAM	DAM
o0900226	DANNA	DANNA
o0900228	DAR~a	DAR~a
o0900233	|DAR~a×A|	|DAR~axA|
o0900229	DAR~b	DAR~b
o0900230	DAR~c	DAR~c
o0900231	DAR~d	DAR~d
o0900235	DARA₃~a	DARA3~a
o0900236	DARA₃~b	DARA3~b
o0900237	DARA₃~c	DARA3~c
o0900241	|DARA₃~c×KAR₂~b|	|DARA3~cxKAR2|
o0900246	|DARA₃~c×(KAR₂~c.ŠE~a)|	|DARA3~cx(KAR2.SZE~a)|
o0900238	DARA₃~c~v1	DARA3~c
o0900239	DARA₃~d	DARA3~d
o0900243	|DARA₃~d×KAR₂~b|	|DARA3~dxKAR2|
o0900242	|DARA₃~d1×KAR₂~b|	|DARA3~dxKAR2|
o0900244	|DARA₃~d2×KAR₂~a1|	|DARA3~dxKAR2|
o0900247	|DARA₃~d2×(KAR₂~a1.ŠE~a)|	|DARA3~dx(KAR2.SZE~a)|
o0900249	DARA₄~a1	DARA4~a1
o0900250	DARA₄~a2	DARA4~a2
o0900251	DARA₄~a3	DARA4~a3
o0900252	DARA₄~b	DARA4~b
o0900254	DARA₄~c1	DARA4~c1
o0900255	DARA₄~c2	DARA4~c2
o0900256	DARA₄~c3	DARA4~c3
o0900257	DARA₄~c4	DARA4~c4
o0900258	DARA₄~c5	DARA4~c5
o0900260	DI	DI
o0900261	DI@t	DI@t
o0900262	DIB	DIB
o0900263	DIB~v1	DIB
o0900264	DILMUN	DILMUN
o0900265	DILMUN~v1	DILMUN
o0900266	DILMUN~v2	DILMUN
o0900269	DIM~a	DIM~a
o0900273	|DIM~a×GU|	|DIM~axGU|
o0900275	|DIM~a×X|	|DIM~axX|
o0900270	DIM~b	DIM~b
o0900271	DIM~c	DIM~c
o0900276	DIN	DIN
o0900278	DIN@t	DIN@t
o0900279	DU	DU
o0900281	|DU×1(N58@t)|	|DUxDISZ|
o0900282	DU@g	DU@g
o0900284	DU₆~a	DU6~a
o0900285	DU₆~a~v1	DU6~a
o0900290	|DU₆~a~v1×1(N58)|	|DU6~axDISZ|
o0900287	DU₆~b	DU6~b
o0900288	DU₆~c	DU6~c
o0900291	DU₇	DU7
o0900293	DU₈~a	DU8~a
o0900294	DU₈~b	DU8~b
o0900295	DU₈~b~v1	DU8~b
o0900296	DU₈~c	DU8~c
o0900303	|DU₈~c×HI|	|DU8~cxHI|
o0900305	|DU₈~c×UDU~a|	|DU8~cxUDU~a|
o0900307	|DU₈~c×X|	|DU8~cxX|
o0900309	DU₈~c@g	DU8~c@g
o0900310	DU₈~c@g~v1	DU8~c@g
o0900312	DUB~a	DUB~a
o0900313	DUB~b	DUB~b
o0900314	DUB~b~v1	DUB~b
o0900315	DUB~b~v2	DUB~b
o0900316	DUB~b~v3	DUB~b
o0900317	DUB~b~v4	DUB~b
o0900318	DUB~c	DUB~c
o0900319	DUB~d	DUB~d
o0900320	DUB~e	DUB~e
o0900321	DUB~f	DUB~f
o0900324	|(DUB@n~a×1(N58))~a|	|(DUBxDISZ)~a|
o0900326	|(DUB@n~a×1(N58))~b|	|(DUBxDISZ)~c|
o0900325	|DUB@n~b×1(N58)~a|	|(DUBxDISZ)~b|
o0900329	DUB₂	DUB2
o0900331	DUG~a	DUG~a
o0900369	|DUG~a×HI|	|DUG~axHI|
o0900375	|DUG~a×KASKAL|	|DUG~axKASKAL|
o0900388	|DUG~a×LAM~b|	|DUG~axLAM~b|
o0900407	|DUG~a×NAGA~a|	|DUG~axNAGA~a|
o0900447	|DUG~a×U₂~a|	|DUG~axU2~a|
o0900448	|DUG~a×U₂~b|	|DUG~axU2~b|
o0900460	|DUG~a×X|	|DUG~axX|
o0900394	|DUG~a×1(N57)|	|DUG~ax1(N57)|
o0900478	DUG~a@t	
o0900332	DUG~a~v1	DUG~a
o0900333	DUG~a~v2	DUG~a
o0900334	DUG~b	DUG~b
o0900342	|DUG~b×ANŠE~b|	|DUG~bxANSZE~b|
o0900343	|DUG~b×ANŠE~d|	|DUG~bxANSZE~d|
o0900347	|DUG~b×BALA~a|	|DUG~bxBALA~a|
o0900349	|DUG~b×BIR₃~c|	|DUG~bxBIR3~c|
o0900351	|DUG~b×DIN|	|DUG~bxDIN|
o0900354	|(DUG~b×DIN)@r|	|(DUG~bxDIN)@r|
o0900356	|DUG~b×E~a|	|DUG~bxE~a|
o0900358	|DUG~b×GA~a~v4|	|DUG~bxGA~a|
o0900359	|DUG~b×GA~b|	|DUG~bxGA~b|
o0900361	|DUG~b×GEŠTU~a~v2|	|DUG~bxGESZTU~a|
o0900363	|DUG~b×GEŠTU~b|	|DUG~bxGESZTU~b|
o0900365	|DUG~b×GI₆|	|DUG~bxGI6|
o0900367	|DUG~b×GIŠ|	|DUG~bxGISZ|
o0900370	|DUG~b×HI|	|DUG~bxHI|
o0900376	|DUG~b×KASKAL|	|DUG~bxKASKAL|
o0900379	|DUG~b×KU₆~a|	|DUG~bxKU6~a|
o0900381	|DUG~b×KUR~a|	|DUG~bxKUR~a|
o0900384	|DUG~b×(KUR~a.X)|	|DUG~bx(KUR~a.X)|
o0900382	|DUG~b×KUR~b|	|DUG~bxKUR~b|
o0900386	|DUG~b×KUR@g~a|	|DUG~bxKUR@g~a|
o0900389	|DUG~b×LAM~a|	|DUG~bxLAM~a|
o0900391	|DUG~b×MAŠ|	|DUG~bxMASZ|
o0900408	|DUG~b×NAGA~a|	|DUG~bxNAGA~a|
o0900410	|DUG~b×NAM₂|	|DUG~bxNAM2|
o0900412	|DUG~b×(NI~a@g.ZATU779)|	|DUG~bx(NI~a@g.ZATU779)|
o0900414	|DUG~b×SA~a|	|DUG~bxSA~a|
o0900418	|DUG~b×SI₄~a|	|DUG~bxSI4~a|
o0900420	|DUG~b×(SI₄~a.X)|	|DUG~bx(SI4~a.X)|
o0900422	|DUG~b×SIG₂~a1|	|DUG~bxSIG2~a1|
o0900423	|DUG~b×SIG₂~a2|	|DUG~bxSIG2~a2|
o0900425	|DUG~b×SIG₇|	|DUG~bxSIG7|
o0900427	|DUG~b×SUHUR|	|DUG~bxSUHUR|
o0900431	|DUG~b×ŠAH₂~a|	|DUG~bxSZAH2~a|
o0900433	|DUG~b×ŠE~a|	|DUG~bxSZE~a|
o0900437	|DUG~b×(ŠE~a.NAM₂)|	|DUG~bx(SZE~a.NAM2)|
o0900439	|DUG~b×TAK₄~a|	|DUG~bxTAK4~a|
o0900441	|DUG~b×(TAK₄~a.SA~a)|	|DUG~bx(TAK4~a.SA~a)|
o0900443	|DUG~b×(TAK₄~a.SAL)|	|DUG~bx(TAK4~a.SAL)|
o0900445	|DUG~b×TI|	|DUG~bxTI|
o0900449	|DUG~b×U₂~a|	|DUG~bxU2~a|
o0900450	|DUG~b×U₂~b|	
o0900456	|DUG~b×UH₃~a|	|DUG~bxUH3~a|
o0900458	|DUG~b×UH₃~a@t|	|DUG~bxUH3~a@t|
o0900461	|DUG~b×X|	|DUG~bxX|
o0900464	|DUG~b×ZATU707~a|	|DUG~bxZATU707~a|
o0900466	|DUG~b×ZATU764|	|DUG~bxZATU764|
o0900468	|DUG~b×ZATU779|	|DUG~bxZATU779|
o0900470	|DUG~b×ZATU780|	|DUG~bxZATU780|
o0900472	|DUG~b×ZATU781|	|DUG~bxZATU781|
o0900474	|DUG~b×(ZATU789.SA~a)|	|DUG~bx(ZATU789.SA~a)|
o0900395	|DUG~b×1(N57)|	|DUG~bx1(N57)|
o0900401	|DUG~b×(1(N57).KU₃~a)|	|DUG~bx(1(N57).KU3~a)|
o0900403	|DUG~b×3(N57)|	|DUG~bx3(N57)|
o0900335	DUG~b~v1	DUG~b
o0900340	|DUG~b~v1×AB₂|	|DUG~bxAB2|
o0900352	|DUG~b~v1×DIN|	|DUG~bxDIN|
o0900362	|DUG~b~v1×GEŠTU~a~v2|	|DUG~bxGESZTU~a|
o0900371	|DUG~b~v1×HI|	|DUG~bxHI|
o0900373	|DUG~b~v1×HI@g~a|	|DUG~bxHI@g~a|
o0900392	|DUG~b~v1×MAŠ|	|DUG~bxMASZ|
o0900434	|DUG~b~v1×ŠE~a|	|DUG~bxSZE~a|
o0900435	|DUG~b~v1×ŠE~a@t|	|DUG~bxSZE~a|
o0900451	|DUG~b~v1×U₂~b|	|DUG~bxU2~b|
o0900462	|DUG~b~v1×X|	|DUG~bxX|
o0900396	|DUG~b~v1×1(N57)|	|DUG~bx1(N57)|
o0900476	|(DUG~b~v1&DUG~b~v1)×1(N58)|	|(DUG~b&DUG~b)x1(N58)|
o0900452	|DUG~b~v2×U₂~b|	|DUG~bxU2~b|
o0900479	DUG~c@t	DUG~c@t
o0900336	DUG~c~v1	DUG~c
o0900397	|DUG~c~v1×1(N57)|	|DUG~cx1(N57)|
o0900398	|DUG~c~v2×1(N57)|	|DUG~cx1(N57)|
o0900337	DUG~c~v3	DUG~c
o0900399	|DUG~c~v3×1(N57)|	|DUG~cx1(N57)|
o0900480	DUG~c2@t	
o0900338	DUG~d	DUG~d
o0900481	DUGUD	DUGUD
o0900483	DUR~a	DUR~a
o0900484	DUR~b	DUR~b
o0900485	DUR₂	DUR2
o0900487	E~a	E~a
o0900488	E~b	E~b
o0900489	E~c	E~c
o0900490	E~d	E~d
o0900491	E~e	E~e
o0900493	E₂~a	E2~a
o0900498	|E₂~a.LIŠ|	|E2~a.LISZ|
o0900506	|E₂~a×3(N58)|	|E2~ax3(N58)|
o0900503	|E₂~a×1(N58@t)|	|E2~ax1(N57)@t|
o0900494	E₂~b	E2~b
o0900499	|E₂~b.LIŠ|	|E2~b.LISZ|
o0900504	|E₂~b×1(N58@t)|	|E2~bx1(N57)@t|
o0900495	E₂~c	E2~c
o0900496	E₂~d	E2~d
o0900508	E₃~a	E3~a
o0900510	E₃~b	E3~b
o0900511	EDIN	EDIN
o0900513	EN~a	EN~a
o0900514	EN~a~v1	EN~a
o0900515	EN~a~v2	EN~a
o0900516	EN~a~v3	EN~a
o0900517	EN~b	EN~b
o0900528	EN~b@t	EN~b@t
o0900518	EN~b~v1	EN~b
o0900519	EN~c	EN~c
o0900523	|EN~c&EN~c|	|EN~c&EN~c|
o0900520	EN~c~v1	EN~c
o0900521	EN~e	EN~e
o0900525	EN@g~a	EN@g~a
o0900526	EN@g~b	EN@g~b
o0900529	EN₂	EN2
o0900531	|EN₂.E₂~a|	|EN2.E2~a|
o0900532	|EN₂.E₂~b|	|EN2.E2~b|
o0900533	ENDIB	ENDIB
o0900534	ENGIZ	ENGIZ
o0900535	ENKUM	ENKUM
o0900536	ENKUM~v1	ENKUM
o0900537	ENLIL	ENLIL
o0900538	ENSI	ENSI
o0900539	ENSI₂	ENSI2
o0900541	ERIM~a	ERIM~a
o0900542	ERIM~b1	ERIM~b1
o0900543	ERIM~b2	ERIM~b2
o0900544	ERIM₂	ERIM2
o0900545	ERIN	ERIN
o0900546	EŠDA	ESZDA
o0900547	|EŠDA×TAR~a|	|ESZDAxTAR|
o0900548	EŠGAR	ESZGAR
o0900550	EZEN~a	EZEN~a
o0900557	|EZEN~a×EN~b~v1|	|EZEN~axEN~b|
o0900559	|EZEN~a×(HI×1(N57).AN)|	|EZEN~ax(HI.1(N57).AN)|
o0900561	|EZEN~a×KAB|	|EZEN~axKAB|
o0900565	|EZEN~a×KI|	|EZEN~axKI|
o0900567	|EZEN~a×LA~e|	|EZEN~axLA~e|
o0900568	|EZEN~a×LA~e|~v1	|EZEN~axLA~e|
o0900573	|EZEN~a×NIM~b2|	|EZEN~axNIM~b2|
o0900575	|EZEN~a×NIMGIR|	|EZEN~axNIMGIR|
o0900577	|EZEN~a×RAD~a|	|EZEN~axRAD~a|
o0900579	|EZEN~a×SAG~v1|	|EZEN~axSAG|
o0900581	|EZEN~a×SU~a|	|EZEN~axSU~a|
o0900583	|EZEN~a×(U₂~b.A)|	|EZEN~ax(U2~b.A)|
o0900585	|EZEN~a×U₄|	|EZEN~axU4|
o0900587	|EZEN~a×X|	|EZEN~axX|
o0900551	EZEN~a~v1	EZEN~a
o0900556	|EZEN~a~v1×EN~a|	|EZEN~axEN~a|
o0900552	EZEN~b	EZEN~b
o0900570	|EZEN~b×6(N57)|	|EZEN~bx6(N57)|
o0900570	|EZEN~b×6(N57)|~v1	|EZEN~bx6(N57)|
o0900592	EZEN~b@t	EZEN~b@t
o0900554	EZEN~c	EZEN~c
o0900594	EZINU~a	EZINU~a
o0900595	EZINU~b	EZINU~b
o0900596	EZINU~c	EZINU~c
o0900597	EZINU~d	EZINU~d
o0900599	GA~a	GA~a
o0900600	GA~a~v1	GA~a
o0900607	|GA~a~v1.ZATU753|	|GA~a.ZATU753|
o0900601	GA~a~v2	GA~a
o0900602	GA~a~v3	GA~a
o0900603	GA~a~v4	GA~a
o0900608	|GA~a~v4.ZATU753|~v1	|GA~a.ZATU753|
o0900614	|GA~a~v4×X|	|GA~axX|
o0900604	GA~b	GA~b
o0900605	GA~c	GA~c
o0900610	|GA~c×KASKAL|	|GA~cxKASKAL|
o0900612	|GA~c×1(N14)|	|GA~cx1(N14)|
o0900616	GA₂~a1	GA2~a1
o0900623	|GA₂~a1×A|	|GA2~a1xA|
o0900631	|GA₂~a1×EN~b~v1|	|GA2~a1xEN~b|
o0900634	|GA₂~a1×GEŠTU~c3|	|GA2~a1xGESZTU~c3|
o0900635	|GA₂~a1×GEŠTU~c5|	|GA2~a1xGESZTU~c5|
o0900637	|GA₂~a1×GIR~a|	|GA2~a1xGIR~a|
o0900639	|GA₂~a1×(GIR~a.KU₆~a)|	|GA2~a1x(GIR~a.KU6~a)|
o0900641	|GA₂~a1×GIŠ@t|	|GA2~a1xGISZ@t|
o0900643	|GA₂~a1×GU₄|	|GA2~a1xGU4|
o0900648	|GA₂~a1×HAL|	|GA2~a1xHAL|
o0900650	|GA₂~a1×HI|	|GA2~a1xHI|
o0900652	|GA₂~a1×(HI.SUHUR~v1)|	|GA2~a1x(HI.SUHUR)|
o0900654	|GA₂~a1×KU₃~a|	|GA2~a1xKU3~a|
o0900657	|GA₂~a1×KU₆~a|	|GA2~a1xKU6~a|
o0900660	|GA₂~a1×(KU₆~a.KU₆~a)|	|GA2~a1x(KU6~a.KU6~a)|
o0900662	|GA₂~a1×LAGAB~b|	|GA2~a1xLAGAB~b|
o0900664	|GA₂~a1×MAŠ|	|GA2~a1xMASZ|
o0900675	|GA₂~a1×NAGA~a|	|GA2~a1xNAGA~a|
o0900680	|GA₂~a1×NIM~b1|	|GA2~a2xNIM~b1|
o0900682	|GA₂~a1×NUN~a|	|GA2~a1xNUN~a|
o0900685	|GA₂~a1×PAD~b|	|GA2~a1xPAD~b|
o0900687	|GA₂~a1×PAP~a|	|GA2~a1xPAP~a|
o0900689	|GA₂~a1×SU~a|	|GA2~a1xSU~a|
o0900691	|GA₂~a1×SUHUR|	|GA2~a1xSUHUR|
o0900694	|GA₂~a1×SUKUD|	|GA2~a1xSUKUD|
o0900696	|GA₂~a1×((SUKUD+SUKUD)~a)|	|GA2~a1x((SUKUD&SUKUD)~a)|
o0900697	|GA₂~a1×((SUKUD+SUKUD)~b)|	|GA2~a1x((SUKUD&SUKUD)~b)|
o0900699	|GA₂~a1×SUMAŠ|	|GA2~a1xSUMASZ|
o0900701	|GA₂~a1×ŠA|	|GA2~a1xSZA|
o0900705	|GA₂~a1×TI|	|GA2~a1xTI|
o0900707	|GA₂~a1×U₄|	|GA2~a1xU4|
o0900709	|GA₂~a1×X|	|GA2~a1xX|
o0900666	|GA₂~a1×1(N14)|	|GA2~a1x1(N14)|
o0900668	|GA₂~a1×1(N57)|	|GA2~a1x1(N57)|
o0900670	|GA₂~a1×3(N57)|	|GA2~a2x3(N57)|
o0900617	GA₂~a2	GA2~a2
o0900644	|GA₂~a2×GU₄|	|GA2~a2xGU4|
o0900677	|GA₂~a2×NI~a|	|GA2~a2xNI~a|
o0900678	|GA₂~a2×NI~b|	|GA2~a2xNI~b|
o0900692	|GA₂~a2×SUHUR|	|GA2~a2xSUHUR|
o0900703	|GA₂~a2×ŠE₃~v1|	|GA2~a2xSZE3|
o0900646	|GA₂~a2×(ŠE₃~v1.GU₄)|	|GA2~a2x(GU4.SZE3)|
o0900711	|GA₂~a2×X|	|GA2~a2xX|
o0900618	GA₂~a3	GA2~a3
o0900712	|GA₂~a3×X|	|GA2~a3xX|
o0900619	GA₂~a4	GA2~a4
o0900620	GA₂~b	GA2~b
o0900625	|GA₂~b×DUB~a|	|GA2~bxDUB~a|
o0900626	|GA₂~b×DUB~b~v2|	|GA2~bxDUB~b|
o0900655	|GA₂~b×KU₃~a|	|GA2~bxKU3~a|
o0900715	|GA₂~b×ZATU659|	|GA2~bxZATU659|
o0900621	GA₂~c	GA2~c
o0900719	GAʾAR~a1	GA’AR~a1
o0900720	GAʾAR~a2	GA’AR~a2
o0900721	GAʾAR~b1	GA’AR~b1
o0900722	GAʾAR~b2	GA’AR~b2
o0900724	GADA~a	GADA~a
o0900725	GADA~b	GADA~b
o0900727	GADA~b@g	GADA~b@g
o0900729	GAL~a	GAL~a
o0900730	GAL~b	GAL~b
o0900732	GALGA~a	GALGA~a
o0900733	GALGA~b	GALGA~b
o0900736	GAN~a	GAN~a
o0900737	GAN~a~v1	GAN~a
o0900738	GAN~b	GAN~b
o0900739	GAN~b~v1	GAN~b
o0900740	GAN~b~v2	GAN~b
o0900741	GAN~b~v3	GAN~b
o0900742	GAN~c	GAN~c
o0900747	|GAN~c×DIN|	|GAN~cxDIN|
o0900751	|GAN~c×HI|	|GAN~cxHI|
o0900755	|GAN~c×(HI.DIN)|	|GAN~cx(HI.DIN)|
o0900761	|GAN~c×LAGAB~b|	|GAN~cxLAGAB~b|
o0900765	|GAN~c×NE~a|	|GAN~cxNE~a|
o0900767	|GAN~c×SIG₇|	|GAN~cxSIG7|
o0900773	|GAN~c×X|	|GAN~cxX|
o0900743	GAN~c~v1	GAN~c
o0900757	|GAN~c~v1×KAŠ~c|	|GAN~cxKASZ~c|
o0900759	|GAN~c~v1×(KUR~a.A)|	|GAN~cx(KUR~a.A)|
o0900775	|GAN~c~v1×ZATU777~v1|	|GAN~cxZATU777|
o0900769	|GAN~c~v2×ŠE~a|	|GAN~cxSZE~a|
o0900771	|GAN~c~v2×ŠE₃~v1@t|	|GAN~cxSZE3@t|
o0900744	GAN~d	GAN~d
o0900749	|GAN~d×GEŠTU~a~v2|	|GAN~dxGESZTU~a|
o0900752	|GAN~d×HI|	|GAN~dxHI|
o0900778	GAN₂	GAN2
o0900779	GAR	GAR
o0900781	GAR@g~a	GAR@g~a
o0900782	GAR@g~b	GAR@g~b
o0900783	GAR@g~c	GAR@g~c
o0900784	GAR₃	GAR3
o0900786	GARA₂~a	GARA2~a
o0900787	GARA₂~b	GARA2~b
o0900788	GAZI	GAZI
o0900790	GEŠTIN~a	GESZTIN~a
o0900791	GEŠTIN~c	GESZTIN~c
o0900795	|GEŠTIN~c×X|	|GESZTIN~cxX|
o0900797	GEŠTU~a	GESZTU~a
o0900805	|GEŠTU~a×ŠE~a@t~v1|	|GESZTU~axSZE~a@t|
o0900798	GEŠTU~a~v1	GESZTU~a
o0900799	GEŠTU~a~v2	GESZTU~a
o0900800	GEŠTU~b	GESZTU~b
o0900801	GEŠTU~c3	GESZTU~c3
o0900802	GEŠTU~c3~v1	GESZTU~c3
o0900803	GEŠTU~c5	GESZTU~c5
o0900806	GI	GI
o0900812	|GI×KU~b1|	|GIxKU~b1|
o0900817	|GI×NAM₂|	|GIxNAM2|
o0900819	|GI×SIG₂~d1|	|GIxSIG2~d1|
o0900820	|GI×ŠE₃~v1|	|GIxSZE3|
o0900821	|GI×X|	|GIxX|
o0900816	|GI×1(N58@t)|	|GIx1(N58)@t|
o0900822	|GI&GI|	|GI&GI|
o0900823	|(GI&GI)×GIŠ@t|	|(GI&GI)xGISZ@t|
o0900824	|(GI&GI)×ŠE₃~v1|	|(GI+&GI)xSZE3|
o0900825	|(GI&GI)×X|	|(GI&GI)xX|
o0900827	GI@t	GI@t
o0900807	GI~v1	GI
o0900810	|GI~v1×GIŠ@t|	|GIxGISZ@t|
o0900814	|GI~v1×LAGAB~a|	|GIxLAGAB~a|
o0900815	|GI~v1×1(N14)|	|GIx1(N14)|
o0900826	|GI~v1&GI~v1&GI~v1|	|GI&GI&GI|
o0900829	GI₄~a	GI4~a
o0900832	|GI₄~a×A|	|GI4~axA|
o0900834	|GI₄~a&GI₄~a|	|GI4~a&GI4~a|
o0900830	GI₄~b	GI4~b
o0900835	|GI₄~b&GI₄~b|	|GI4~b&GI4~b|
o0900836	GI₆	GI6
o0900837	GI₆~v1	GI6
o0900839	GIBIL	GIBIL
o0900840	GIBIL@t	GIBIL@t
o0900841	GIBIL₆	GIBIL6
o0900842	GIG	GIG
o0900843	GIL	GIL
o0900845	GIR~a	GIR~a
o0900853	|GIR~a.KU₆~a|	|GIR~a.KU6~a|
o0900846	GIR~b	GIR~b
o0900847	GIR~b~v1	GIR~b
o0900851	|GIR~b~v1.GIR~b~v1|	|GIR~b.GIR~b|
o0900848	GIR~c	GIR~c
