o0900000	A	EASL0001	I	A	archsigns/A.jpg	126E7	12690	
o0900008	A@g	EASL0002	I	A@g	archsigns/A@g.jpg	126E9	F26E9	
o0900009	A@t	EASL0003	I	A@t	archsigns/A@t.jpg	126E8	12696	
o0900010	A₂	EASL0004	I	A2	archsigns/A2.jpg	126EA	12697	
o0900012	AB~a	EASL0005	I	AB~a	archsigns/AB~a.jpg	126EC	126A2	
o0900040	AB~a@g	EASL0006	I	AB~a@g	archsigns/AB~a@g.jpg	126ED	126A1	
o0900025	|AB~a×1(N01)|	EASL0007	I	|AB~ax1(N01)|	archsigns/|AB~ax1(N01)|.jpg	12C4B	126A0	
o0900018	|AB~a×A@t|	EASL0008	I	|AB~axA@t|	archsigns/|AB~axA@t|.jpg	12C4C	12699	
o0900020	|AB~a×AŠ₂|	EASL0009	I	|AB~axASZ2|	archsigns/|AB~axASZ2|.jpg	12C4D	1269A	
o0900022	|AB~a×KU₆~a|	EASL0010	I	|AB~axKU6~a|	archsigns/|AB~axKU6~a|.jpg	12C4E	1269B	
o0900029	|AB~a×SUKKAL|	EASL0011	I	|AB~axSUKKAL|	archsigns/|AB~axSUKKAL|.jpg	12C50	1269C	
o0900033	|AB~a×(ŠE~a&ŠE~a)|	EASL0012	I	|AB~ax(SZE~a&SZE~a)|	archsigns/|AB~ax(SZE~a&SZE~a)|.jpg	12C4F	1269D	
o0900035	|AB~a×X|	EASL0013	I	|AB~axX|	archsigns/|AB~axX|.jpg	12C51	1269E	
o0900038	|AB~a×ZATU659|	EASL0014	I	|AB~axZATU659|	archsigns/|AB~axZATU659|.jpg	12C52	1269F	
o0900014	AB~b	EASL0015	I	AB~b	archsigns/AB~b.jpg	126EE	126A3	
o0900016	|AB~b×A|	EASL0016	I	|AB~bxA|	archsigns/|AB~bxA|.jpg	12C53	126A4	
o0900023	|AB~b×KU₆~a|	EASL0017	I	|AB~bxKU6~a|	archsigns/|AB~bxKU6~a|.jpg	12C54	126A5	
o0900031	|AB~b×ŠA₃~a1|	EASL0018	I	|AB~bxSZA3~a1|	archsigns/|AB~bxSZA3~a1|.jpg	12C55	126A6	
o0900041	AB₂	EASL0019	I	AB2	archsigns/AB2.jpg	126F0	126A9	
o0900043	|AB₂×2(N14)|	EASL0020	I	|AB2x2(N14)|	archsigns/|AB2x2(N14)|.jpg	12C57	126AA	
o0900047	ABGAL	EASL0021	I	ABGAL	archsigns/ABGAL.jpg	126F2	126AC	
o0900049	ABRIG	EASL0022	I	ABRIG	archsigns/ABRIG.jpg	126F3	126AD	
o0900050	ABZU	EASL0023	I	ABZU	archsigns/ABZU.jpg	126F4	126AE	
o0900053	AD~a	EASL0024	I	AD~a	archsigns/AD~a.jpg	126F5	126AF	
o0900054	AD~b	EASL0025	I	AD~b	archsigns/AD~b.jpg	126F6	126B0	
o0900055	AD~c	EASL0026	I	AD~c	archsigns/AD~c.jpg	126F7	126B1	
o0900056	ADAB	EASL0027	I	ADAB	archsigns/ADAB.jpg	126F8	126B2	
o0900058	ADDA	EASL0028	I	ADDA	archsigns/ADDA.jpg	126F9	126B3	
o0900059	ADDA@t	EASL0029	I	ADDA@t	archsigns/ADDA@t.jpg	126FA	126B4	
o0900060	AGAR₂	EASL0030	I	AGAR2	archsigns/AGAR2.jpg	126FB	126B5	
o0900062	AK~a	EASL0031	I	AK~a	archsigns/AK~a.jpg	126FC	126B6	
o0900063	AK~b	EASL0032	I	AK~b	archsigns/AK~b.jpg	126FD	126B7	
o0900064	AL	EASL0033	I	AL	archsigns/AL.jpg	126FE	126B8	
o0900066	ALAN~a	EASL0034	I	ALAN~a	archsigns/ALAN~a.jpg	126FF	126B9	
o0900067	ALAN~b	EASL0035	I	ALAN~b	archsigns/ALAN~b.jpg	12700	126BA	
o0900068	ALAN~c	EASL0036	I	ALAN~c	archsigns/ALAN~c.jpg	12701	126BB	
o0900069	ALAN~d	EASL0037	I	ALAN~d	archsigns/ALAN~d.jpg	12702	126BC	
o0900070	ALAN~e	EASL0038	I	ALAN~e	archsigns/ALAN~e.jpg	12703	126BD	
o0900071	ALAN~f	EASL0039	I	ALAN~f	archsigns/ALAN~f.jpg	12704	F2704	
o0900072	ALIM	EASL0040	I	ALIM	archsigns/ALIM.jpg	12705	126BE	
o0900074	AM~a	EASL0041	I	AM~a	archsigns/AM~a.jpg	12706	126BF	
o0900075	AM~b	EASL0042	I	AM~b	archsigns/AM~b.jpg	12707	126C0	
o0900077	AMA~a	EASL0043	I	AMA~a	archsigns/AMA~a.jpg	12709	126C3	
o0900081	|AMA~a×E₂~a|	EASL0044	I	|AMA~axE2~a|	archsigns/|AMA~axE2~a|.jpg	12C58	126C2	
o0900079	AMA~b	EASL0045	I	AMA~b	archsigns/AMA~b.jpg	1270A	126C4	
o0900085	|AMAR.1(N02)|	EASL0046	I	|AMAR.1(N02)|	archsigns/|AMAR.1(N02)|.jpg	12C59	126C6	
o0900082	AMAR	EASL0047	I	AMAR	archsigns/AMAR.jpg	1270D	126CA	
o0900088	AMAR@g	EASL0048	I	|AMAR@g|	archsigns/|AMAR@g|.jpg	1270E	126C8	
o0900087	|AMAR&AMAR|	EASL0049	I	|AMAR&AMAR|	archsigns/|AMAR&AMAR|.jpg	12C5A	126C7	
